"_report","_báo cáo"
"Enter First and Last name of Employee, based on Which Full Name will be updated. IN transactions, it will be Full Name which will be fetched.","Nhập Họ và Tên của Nhân viên, dựa trên đó Tên đầy đủ sẽ được cập nhật. Trong giao dịch, Tên đầy đủ sẽ được lấy."
"Enter folder name","Nhập tên thư mặt hàng"
"Enter Form Type","Nhập loại biểu Biểu mẫu"
"Enter Manually","Nhập thủ công"
"Enter Serial Nos","Nhập số sê-ri"
"Enter static url parameters here (Eg. sender=ERPNext, username=ERPNext, password=1234 etc.)","Nhập các tham số url tĩnh tại đây (Ví dụ: sender=ERPNext, username=ERPNext, password=1234, v.v.)"
"Enter Supplier","Nhập nhà cung cấp"
"Enter the Bank Guarantee Number before submitting.","Nhập Mã số bảo lãnh của Ngân hàng trước khi ghi sổ."
"Enter the name of the bank or lending institution before submitting.","Nhập tên ngân hàng hoặc tổ chức cho vay trước khi ghi sổ."
"Enter the name of the Beneficiary before submitting.","Nhập tên Người thụ hưởng trước khi ghi sổ."
"Enter the opening stock units.","Nhập số lượng hàng tồn kho mở đầu."
"Enter the Operation, the table will fetch the Operation details like Hourly Rate, Workstation automatically.|||||| After that, set the Operation Time in minutes and the table will calculate the Operation Costs based on the Hourly Rate and Operation Time.","Vào Hoạt động, bảng sẽ tự động lấy thông tin chi tiết về Hoạt động như Mức giá theo giờ, Trạm làm việc.|||||| Sau đó, đặt Thời gian hoạt động tính bằng phút và bảng sẽ tính Chi phí hoạt động dựa trên Mức giá theo giờ và Thời gian hoạt động."
"Enter the Operation, the table will fetch the Operation details like Hourly Rate, Workstation automatically.|||||||| After that, set the Operation Time in minutes and the table will calculate the Operation Costs based on the Hourly Rate and Operation Time.","Vào Hoạt động, bảng sẽ tự động lấy thông tin chi tiết về Hoạt động như Mức giá theo giờ, Trạm làm việc.|||||||| Sau đó, đặt Thời gian hoạt động tính bằng phút và bảng sẽ tính Chi phí hoạt động dựa trên Mức giá theo giờ và Thời gian hoạt động."
"Enter the quantity of the Item that will be manufactured from this Bill of Materials.","Nhập số lượng Mặt hàng sẽ được sản xuất từ ​​Bảng thành phần nguyên liệu này."
"Enter the quantity to manufacture. Raw material Items will be fetched only when this is set.","Nhập số lượng cần sản xuất. Nguyên liệu thô sẽ chỉ được lấy khi mặt hàng này được thiết lập."
"Enter url parameter for message","Nhập tham số url cho tin nhắn"
"Enter url parameter for receiver nos","Nhập tham số url cho số máy thu"
"Enter Value","Nhập giá trị"
"Enter Visit Details","Nhập chi tiết chuyến thăm"
"Enter your password","Nhập mật khẩu của bạn"
"Entertainment Expenses","Chi phí giải trí"
"Entity","Thực thể"
"Entity Name","Tên thực thể"
"Entity Type","Loại thực thể"
"Entries' cannot be empty","định khoản không được để trống"
"Entry Type","Loại định khoản"
"envelope","phong bì"
"Equals","Bằng nhau"
"Equity","Vốn chủ sở hữu"
"Equity/Liability Account","Tài khoản vốn chủ sở hữu/nợ phải trả"
"ERPNext Integrations","Tích hợp ERPNext"
"ERPNext User ID","ID người dùng ERPNext"
"Error","Lỗi"
"Error connecting to QZ Tray Application...<br><br> You need to have QZ Tray application installed and running, to use the Raw Print feature.<br><br><a target=""_blank"" href=""https://qz.io/download/"">Click here to Download and install QZ Tray</a>.<br> <a target=""_blank"" href=""https://erpnext.com/docs/user/manual/en/setting-up/print/raw-printing"">Click here to learn more about Raw Printing</a>.","Lỗi khi kết nối với Ứng dụng QZ Tray...<br><br> Bạn cần cài đặt và chạy ứng dụng QZ Tray để sử dụng tính năng In thô.<br><br><a target=""_blank"" href=""https://qz.io/download/"">Nhấp vào đây để tải xuống và cài đặt QZ Tray</a>.<br> <a target=""_blank"" href=""https://erpnext.com/docs/user/manual/en/setting-up/print/raw-printing"">Nhấp vào đây để tìm hiểu thêm về In thô</a>."
"Error connecting via IMAP/POP3: {e}","Lỗi kết nối qua IMAP/POP3: {e}"
"Error connecting via SMTP: {e}","Lỗi kết nối qua SMTP: {e}"
"Error Description","Mô tả lỗi"
"Error during caller information update","Lỗi trong quá trình cập nhật thông tin người gọi"
"Error evaluating the criteria formula","Lỗi đánh giá công thức tiêu chí"
"Error has occurred in {0}","Đã xảy ra lỗi trong {0}"
"Error in {0}.get_list: {1}","Lỗi trong {0}.get_list: {1}"
"Error in Client Script","Lỗi trong tập lệnh của khách hàng"
"Error in Client Script.","Lỗi trong tập lệnh của khách hàng."
"Error in Header/Footer Script","Lỗi trong tập lệnh Header/Footer"
"Error in Notification","Lỗi trong thông báo"
"Error in party matching for Bank Transaction {0}","Lỗi khi khớp đối tác cho Giao dịch Ngân hàng {0}"
"Error in print format on line {0}: {1}","Lỗi định dạng in trên dòng {0}: {1}"
"Error Log","Nhật ký lỗi"
"Error Message","Thông báo lỗi"
"Error Occurred","Đã xảy ra lỗi"
"Error parsing nested filters: {0}","Lỗi khi phân tích cú pháp các bộ lọc lồng nhau: {0}"
"Error while connecting to email account {0}","Lỗi khi kết nối với tài khoản email {0}"
"Error while evaluating Notification {0}. Please fix your template.","Có lỗi khi đánh giá Thông báo {0}. Vui lòng sửa Biểu mẫu của bạn."
"Error while posting depreciation entries","Lỗi khi ghi nhận mặt hàng khấu hao"
"Error while processing deferred accounting for {0}","Lỗi khi xử lý kế toán hoãn lại cho {0}"
"Error while reposting item valuation","Lỗi khi đăng lại giá trị sản phẩm"
"Error: {0} is mandatory field","Lỗi: {0} là trường bắt buộc"
"Error: {0} Row #{1}: Value missing for: {2}","Lỗi: {0} Hàng #{1}: Thiếu giá trị cho: {2}"
"Error: Data missing in table {0}","Lỗi: Thiếu dữ liệu trong bảng {0}"
"Error: Value missing for {0}: {1}","Lỗi: Thiếu giá trị cho {0}: {1}"
"Errors","Lỗi"
"Errors Notification","Thông báo lỗi"
"ESC","THOÁT"
"Estimated Arrival","Dự kiến ​​đến nơi"
"Estimated Cost","Chi phí ước tính"
"Estimated Time and Cost","Thời gian và chi phí ước tính"
"Evaluation Period","Giai đoạn đánh giá"
"Even if there are multiple Pricing Rules with highest priority, then following internal priorities are applied:","Ngay cả khi có nhiều Quy tắc định giá có mức độ ưu tiên cao nhất thì các mức độ ưu tiên nội bộ sau vẫn được áp dụng:"
"Event","Sự kiện"
"Event Category","Thể loại sự kiện"
"Event Frequency","Tần suất sự kiện"
"Event Participants","Người tham gia sự kiện"
"Event Reminders","Nhắc nhở sự kiện"
"Event Synced with Google Calendar.","Sự kiện được đồng bộ hóa với Google Calendar."
"Event Type","Loại sự kiện"
"Events","Sự kiện"
"Events in Today's Calendar","Sự kiện trong Lịch hôm nay"
"Everyone","Mọi người"
"Ex: ""colors"": [""#d1d8dd"", #ff5858]","Ví dụ: ""màu sắc"": [""#d1d8dd"", #ff5858]"
"Exact Copies","Bản sao chính xác"
"Example","Ví dụ"
"Example of a linked document: {0}","Ví dụ về tài liệu được liên kết: {0}"
"Example URL","URL ví dụ"
"Example: ""/desk""","Ví dụ: ""/desk"""
"Example: {{ subject }}","Ví dụ: {{ chủ đề }}"
"Example: #Tree/Account","Ví dụ: #Cây/Tài khoản"
"Example: 00001","Ví dụ: 00001"
"Example: ABCD.#####. If series is set and Batch No is not mentioned in transactions, then automatic batch number will be created based on this series. If you always want to explicitly mention Batch No for this item, leave this blank. Note: this setting will take priority over the Naming Series Prefix in Stock Settings.","Ví dụ: ABCD.#####. Nếu Sê-ri được thiết lập và Số lô không được đề cập trong giao dịch, thì số lô tự động sẽ được tạo dựa trên Sê-ri này. Nếu bạn luôn muốn đề cập rõ ràng Số lô cho mặt hàng này, hãy để trống ô này. Lưu ý: cài đặt này sẽ được ưu tiên hơn Tiền tố Sê-ri Đặt tên trong Cài đặt Kho."
"Example: ABCD.#####|||If series is set and Serial No is not mentioned in transactions, then automatic serial number will be created based on this series. If you always want to explicitly mention Serial Nos for this item. leave this blank.","Ví dụ: ABCD.#####|||Nếu Sê-ri được thiết lập và Số sê-ri không được đề cập trong giao dịch, thì số sê-ri tự động sẽ được tạo dựa trên Sê-ri này. Nếu bạn luôn muốn đề cập rõ ràng Số sê-ri cho mặt hàng này, hãy để trống ô này."
"example: Next Day Shipping","ví dụ: Giao hàng ngày hôm sau"
"Example: Serial No {0} reserved in {1}.","Ví dụ: Số sê-ri {0} được bảo lưu trong {1}."
"Example: Setting this to 24:00 will log out a user if they are not active for 24:00 hours.","Ví dụ: Đặt thành 24:00 sẽ đăng xuất người dùng nếu họ không hoạt động trong vòng 24:00 giờ."
"Excellent","Xuất sắc"
"Exception","Ngoại lệ"
"Exception Budget Approver Role","Vai trò của người phê duyệt ngân sách ngoại lệ"
"Excess Materials Consumed","Vật liệu dư thừa được tiêu thụ"
"Excess Transfer","Chuyển khoản dư thừa"
"Excessive machine set up time","Thời gian thiết lập máy quá lâu"
"Exchange Gain / Loss","Lãi/lỗ trao đổi"
"Exchange Gain / Loss Account","Tài khoản lãi/lỗ hối đoái"
"Exchange Gain Or Loss","Lãi hoặc lỗ trong giao dịch"
"Exchange Gain/Loss","Lãi/lỗ trao đổi"
"Exchange Gain/Loss amount has been booked through {0}","Số tiền Lãi/Lỗ của giao dịch đã được ghi nhận thông qua {0}"
"Exchange Rate","Tỷ giá hối đoái"
"Exchange Rate must be same as {0} {1} ({2})","Tỷ giá hối đoái phải giống với {0} {1} ({2})"
"Exchange Rate Revaluation","Đánh giá lại tỷ giá hối đoái"
"Exchange Rate Revaluation Account","Tài khoản đánh giá lại tỷ giá hối đoái"
"Exchange Rate Revaluation Settings","Cài đặt định giá lại tỷ giá hối đoái"
"Excise Entry","định khoản tiêu thụ đặc biệt"
"Excise Invoice","Hóa đơn tiêu thụ đặc biệt"
"Excise Page Number","Số trang thuế tiêu thụ đặc biệt"
"exclamation-sign","dấu chấm than"
"Excluded DocTypes","Loại trừ DocTypes"
"Execute","Thực hiện"
"Execute Console script","Thực thi tập lệnh Console"
"Executing Code","Thực thi mã"
"Executing...","Đang thực hiện..."
"Execution","Thực hiện"
"Execution Time: {0} sec","Thời gian thực hiện: {0} giây"
"Executive","Điều hành"
"Exempt Supplies","Vật tư miễn trừ"
"Existing Company","Công ty hiện tại"
"Existing Role","Vai trò hiện tại"
"Exit Interview Held On","Cuộc phỏng vấn đầu ra được tổ chức vào"
"Expand","Mở rộng"
"Expand All","Mở rộng tất cả"
"Expected","Hy vọng"
"Expected 'and' or 'or' operator, found: {0}","Toán tử 'và' hoặc 'hoặc' mong đợi, được tìm thấy: {0}"
"Expected Amount","Số tiền dự kiến"
"Expected Arrival Date","Ngày dự kiến ​​đến"
"Expected Balance Qty","Số dư dự kiến ​​Qty"
"Expected Closing Date","Ngày đóng dự kiến"
"Expected Delivery Date","Ngày giao hàng dự kiến"
"Expected Delivery Date should be after Sales Order Date","Ngày giao hàng dự kiến ​​phải sau Ngày đặt hàng"
"Expected End Date","Ngày kết thúc dự kiến"
"Expected End Date should be less than or equal to parent task's Expected End Date {0}.","Ngày kết thúc dự kiến ​​phải nhỏ hơn hoặc bằng Ngày kết thúc dự kiến ​​{0} của tác vụ cha."
"Expected Hrs","Giờ dự kiến"
"Expected Start Date","Ngày bắt đầu dự kiến"
"Expected Stock Value","Giá trị tồn kho dự kiến"
"Expected Time (in hours)","Thời gian dự kiến ​​(tính bằng giờ)"
"Expected Time Required (In Mins)","Thời gian dự kiến ​​cần thiết (phút)"
